Tx_x,Tx_y,Tx_z,Rx_x,Rx_y,Rx_z,Distance,Angle,Frequency_GHz,LOS_Flag,Path_loss,3GPP_Path_Loss
-477.0168300226942,-524.6628454617096,25.0,280.9067218016136,-538.6535249919732,6.573846472532602,758.2765805809319,1.392426966022291,5.8,0,121.64546012878418,135.27399738781415
167.45837987122343,-54.26245888649839,25.0,-548.3989532257026,72.1800287714168,12.688360850918526,727.0426400784912,0.9702851534938656,5.8,0,155.10263442993164,132.67156338612375
405.9847109425931,448.1460115617074,25.0,-133.46229722252946,-99.7740286628778,17.790171610175094,768.9417576926248,0.5372302735524904,2.6,0,inf,127.3284695332632
567.6094751512865,440.78268059989296,25.0,-364.195232062028,77.46927735694658,17.65408451464483,1000.15528986012,0.4208283878828591,5.8,0,137.3561668395996,135.50258094343104
386.7886416977818,-93.8349887225914,25.0,384.4656943778118,-95.74820103765,8.309071813710833,16.9600574684672,79.7793051462601,5.8,1,72.11137294769287,71.69025706660524
282.55164799787894,-239.323155161132,25.0,-410.0247127315792,209.57463168837285,3.7811987323458967,825.6037039687262,1.472718247718157,2.6,0,122.64693260192873,146.5691815369668
62.50650047150919,-305.42260636788694,25.0,-182.88531049949427,-550.6643747987637,2.5273618993265607,347.6574252593151,3.7061934533959207,5.8,0,131.9136142730713,124.8668781825283
355.5864973556062,485.7094033890528,25.0,49.70237016278986,570.0907365678622,4.2912056693053735,317.9845323599488,3.734039650252352,2.6,1,88.66196632385254,92.35149825692136
-485.2639113092421,540.2013704458902,25.0,-270.74620336635707,349.4645827384958,18.910289991539127,287.115749783936,1.2153316147660034,5.8,0,142.1712589263916,113.4003836206796
367.5260325199532,556.6948788713598,25.0,352.8677923661887,-589.2232807059897,13.584332286664775,1146.068763173871,0.5707165376825499,5.8,0,inf,146.23010541815935
-158.99478027594296,254.84588673962537,25.0,-477.3018598840833,567.8360097915797,10.971266680524526,446.63074168186125,1.7999644085980804,0.9,0,117.75785446166992,107.731495957019
590.5383671266507,-485.2694405952965,25.0,166.41627598917205,352.74263038902586,16.14947883214085,939.2667943833655,0.5398945399383519,5.8,1,105.89828491210938,109.92523909155253
363.07558022651097,567.5290466829554,25.0,-154.5422890152899,-593.1462244101027,4.676914669544352,1271.0265029820248,0.9161702263201256,5.8,0,inf,145.96758550490733
-304.2922822747024,-437.2974767912796,25.0,523.5173384861648,207.4607067486488,14.9996863597418,1049.3244921085482,0.5460507626787107,0.9,0,140.54250717163086,126.0260730745099
-100.47089065509532,235.8812110487252,25.0,154.60834140005522,545.3107283048657,7.046986584220703,401.4154350120592,2.563367124249317,5.8,1,99.6155834197998,105.73673329463934
-2.240757735658235,407.5089675590668,25.0,433.35294765467575,483.38567841566646,14.159031730225864,442.2857425003923,1.4045307860114589,0.9,1,81.77986145019531,83.16186919171354
-235.9428555902097,52.20782310610173,25.0,68.12622430474119,-256.20754706297726,10.116331553167475,433.3584768885077,1.968206857485208,2.6,0,inf,121.61052022084556
568.6424587887154,276.13213828683365,25.0,-78.26013312227053,-43.32447335700999,11.814216272331292,721.6019366912966,1.047020203361412,0.9,0,100.06303787231444,116.77571277586912
-587.7417200427362,540.6278148510555,25.0,-77.40392450166803,35.87036784987902,5.821471346320501,718.0477434141707,1.5305102641451889,0.9,0,inf,113.7691125157946
370.41139039193774,-507.8507264335221,25.0,-25.44369872104346,-66.68796091713068,15.73855264486159,592.7998074070443,0.8951815239334245,2.6,0,inf,123.22072631684746
-54.59496204849427,-343.8064623850564,25.0,586.091326423887,42.58636900884483,13.118724053300214,748.2776925094272,0.9097900172370196,2.6,0,inf,128.44852485476244
-536.6591557890624,224.6080286730305,25.0,-250.84687571321425,-234.18034279582884,8.017853610796834,540.7992442054515,1.799494557542323,5.8,1,100.51284790039062,101.52933907645846
-62.25182895585544,384.62484390766986,25.0,-593.968482265343,367.8743333744686,20.982949099843548,531.9955974514255,0.4326393883155844,5.8,1,101.6921329498291,101.3175027179811
-420.5564007878594,-340.5319910939812,25.0,382.2114902748625,-102.31205538374212,19.670184455630093,837.3848766396594,0.3646805748291373,0.9,0,125.33896446228027,116.14487495960267
395.4730824530541,-217.82163267208009,25.0,-230.31568572735367,360.4228892954653,6.015878323423006,852.2550712328195,1.2763784659868218,2.6,0,inf,135.5573708315316
523.6987404514357,220.14969306558896,25.0,-560.6751489611554,135.10961039177562,7.3265598026477505,1087.8469093532274,0.9308828975696558,2.6,0,inf,152.10409375449942
-273.4480499563103,208.1047917036672,25.0,-64.57945196519688,500.5254272765751,14.227662939455389,359.516289730219,1.717034414847929,5.8,0,inf,120.6887627101619
436.5604246778619,269.388224195524,25.0,-385.1808368512096,598.4463500757427,16.174132132160164,885.2207900014619,0.5712624053292362,2.6,0,135.74652671813965,121.16419835183584
-343.2421745499538,117.48822337984824,25.0,-282.4927465874731,-73.70976811032676,17.67255122408552,200.7507321361726,2.091774023894965,5.8,1,93.28816413879396,86.51937807455829
